activity_year,lei,derived_msa_md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open_end_line_of_credit,business_or_commercial_purpose,loan_amount,combined_loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co_applicant_credit_score_type,applicant_ethnicity_1,applicant_ethnicity_2,applicant_ethnicity_3,applicant_ethnicity_4,applicant_ethnicity_5,co_applicant_ethnicity_1,co_applicant_ethnicity_2,co_applicant_ethnicity_3,co_applicant_ethnicity_4,co_applicant_ethnicity_5,applicant_ethnicity_observed,co_applicant_ethnicity_observed,applicant_race_1,applicant_race_2,applicant_race_3,applicant_race_4,applicant_race_5,co_applicant_race_1,co_applicant_race_2,co_applicant_race_3,co_applicant_race_4,co_applicant_race_5,applicant_race_observed,co_applicant_race_observed,applicant_sex,co_applicant_sex,applicant_sex_observed,co_applicant_sex_observed,applicant_age,co_applicant_age,applicant_age_above_62,co_applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus_1,aus_2,aus_3,aus_4,aus_5,denial_reason_1,denial_reason_2,denial_reason_3,denial_reason_4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,dti_bucket,decisioned,loan_purpose_label,action_taken_label,ltv,ltv_bucket
2024,549300SHE1JTCOWBP090,99999,NC,37083,37083930503,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,4,1,2,1,2,25000,8.651,7.5,-0.82,2,,,,,,,,1.0,2,2,2,2,285000.0,1,1,3,5,1,,29.0,20%-<30%,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,2025,39.41,71500,88.0,674,833,32,20%-<30%,True,Other Purpose,Loan Originated,8.771929824561402,<=60%
2024,549300SHE1JTCOWBP090,24660,NC,37151,37151030503,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,4,2,2,1,2,55000,67.097,7.5,-0.82,2,,,,,,,,2.0,2,2,2,2,395000.0,1,1,3,5,1,,89.0,36,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,,1,1,6,,,,,10,,,,5838,13.86,80700,91.0,1968,2263,29,36%-49%,True,Other Purpose,Loan Originated,13.924050632911392,<=60%
2024,549300SHE1JTCOWBP090,15500,NC,37001,37001020601,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,2,2,2,1,2,75000,103.702,,,3,,,,,,,,1.0,2,2,2,2,775000.0,1,1,3,5,1,,325.0,43,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,,1,1,6,,,,,4,,,,3170,13.22,77900,159.0,1347,1480,51,36%-49%,True,Home Improvement,Application Denied,9.67741935483871,<=60%
2024,549300SHE1JTCOWBP090,48900,NC,37129,37129012103,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,4,2,2,1,2,115000,89.298,,,3,,,,,,,,1.0,2,2,2,2,285000.0,1,1,3,5,1,,29.0,>60%,3,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,55-64,55-64,No,No,1,1,6,,,,,1,,,,4709,10.19,96300,128.0,1680,1843,26,>60%,True,Other Purpose,Application Denied,40.35087719298245,<=60%
2024,549300SHE1JTCOWBP090,39580,NC,37183,37183054114,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,0,2,1,4,2,2,1,2,55000,57.379,7.5,-0.82,2,,,,,,,,1.0,2,2,2,2,335000.0,1,1,3,5,1,,145.0,30%-<36%,3,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,1,5,2,4,55-64,9999,No,,1,1,6,,,,,10,,,,7613,62.12,122300,92.0,2041,2513,18,30%-<36%,True,Other Purpose,Loan Originated,16.417910447761194,<=60%
2024,549300SHE1JTCOWBP090,99999,NC,37195,37195000401,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,0,2,1,2,2,2,1,2,35000,89.986,7.5,-0.82,2,,,,,,,,2.0,2,2,2,2,205000.0,1,1,3,5,1,,99.0,41,3,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,,1,1,6,,,,,10,,,,4574,65.94,71500,98.0,804,1610,49,36%-49%,True,Home Improvement,Loan Originated,17.073170731707318,<=60%
2024,549300SHE1JTCOWBP090,99999,NC,37155,37155961700,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,0,2,1,4,1,2,1,2,65000,43.871,7.5,-0.63,2,,,,,,,,1.0,2,2,2,2,155000.0,1,1,3,5,1,,31.0,42,3,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,1,5,2,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,4322,73.67,71500,68.0,1124,2251,46,36%-49%,True,Other Purpose,Loan Originated,41.935483870967744,<=60%
2024,549300SHE1JTCOWBP090,49180,NC,37067,37067003805,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,5,0,2,1,1,2,2,1,2,185000,,,,3,,,,,,,,3.0,2,2,2,2,,1,1,3,5,1,,140.0,,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,,1,1,6,,,,,10,,,,6598,55.79,81900,88.0,1339,1795,37,Missing,False,Home Purchase,File Closed for Incompleteness,,Missing
2024,549300SHE1JTCOWBP090,16740,NC,37097,37097061101,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,2,2,2,1,2,25000,79.437,7.5,-0.82,2,,,,,,,,2.0,2,2,2,2,245000.0,1,1,3,5,1,,96.0,38,3,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,1,1,6,,,,,10,,,,2724,21.95,100300,98.0,823,1112,26,36%-49%,True,Home Improvement,Loan Originated,10.204081632653061,<=60%
2024,549300SHE1JTCOWBP090,99999,NC,37155,37155960402,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,American Indian or Alaska Native,Female,3,0,2,1,2,2,2,1,2,5000,76.365,,,3,,,,,,,,2.0,2,2,2,2,125000.0,1,1,3,5,1,,35.0,48,3,10,2,,,,,5,,,,,2,4,1,,,,,8,,,,,2,4,2,5,2,4,65-74,9999,Yes,,1,1,6,,,,,1,3.0,,,3342,92.34,71500,74.0,1125,1524,31,36%-49%,True,Home Improvement,Application Denied,4.0,<=60%
2024,549300SHE1JTCOWBP090,99999,NC,37163,37163970802,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,4,2,2,1,2,105000,74.666,7.5,-0.63,2,,,,,,,,1.0,2,2,2,2,455000.0,1,1,3,5,1,,148.0,30%-<36%,3,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,35-44,No,No,1,1,6,,,,,10,,,,4513,58.76,71500,87.0,990,1774,29,30%-<36%,True,Other Purpose,Loan Originated,23.076923076923077,<=60%
2024,549300SHE1JTCOWBP090,39580,NC,37183,37183052815,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,31,2,2,1,2,85000,69.206,7.5,-0.82,2,,,,,,,,2.0,2,2,2,2,325000.0,1,1,3,5,1,,120.0,46,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,,1,1,6,,,,,10,,,,4648,68.18,122300,42.0,1177,1872,38,36%-49%,True,Refinancing,Loan Originated,26.153846153846157,<=60%
2024,549300SHE1JTCOWBP090,49180,NC,37169,37169070600,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,1,1,2,1,2,125000,35.961,7.5,-0.82,2,,,,,,,,2.0,2,2,2,2,335000.0,1,1,3,5,1,,57.0,39,3,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,65-74,65-74,Yes,Yes,1,1,6,,,,,10,,,,4748,6.28,81900,101.0,1755,2306,40,36%-49%,True,Home Purchase,Loan Originated,37.3134328358209,<=60%
2024,549300SHE1JTCOWBP090,49180,NC,37067,37067003805,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,31,2,2,1,2,95000,79.894,7.5,-0.82,2,,,,,,,,2.0,2,2,2,2,305000.0,1,1,3,5,1,,154.0,30%-<36%,3,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,1,6,,,,,10,,,,6598,55.79,81900,88.0,1339,1795,37,30%-<36%,True,Refinancing,Loan Originated,31.147540983606557,<=60%
2024,549300SHE1JTCOWBP090,99999,NC,37163,37163970304,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,3,0,2,1,4,2,2,1,2,35000,96.68,,,3,,,,,,,,2.0,2,2,2,2,305000.0,1,1,3,5,1,,62.0,>60%,3,10,1,14.0,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,,1,1,6,,,,,1,,,,4071,24.86,71500,115.0,930,1422,28,>60%,True,Other Purpose,Application Denied,11.475409836065573,<=60%
2024,549300SHE1JTCOWBP090,39580,NC,37183,37183053807,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,2,2,2,1,2,125000,101.055,,,3,,,,,,,,2.0,2,2,2,2,755000.0,1,1,3,5,1,,225.0,42,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,,1,1,6,,,,,4,,,,4146,17.63,122300,126.0,1377,1519,32,36%-49%,True,Home Improvement,Application Denied,16.55629139072848,<=60%
2024,549300SHE1JTCOWBP090,16740,NC,37097,37097061303,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,2,2,2,1,2,55000,27.19,7.5,-0.78,2,,,,,,,,1.0,2,2,2,2,455000.0,1,1,3,5,1,,132.0,39,3,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,55-64,65-74,Yes,Yes,1,1,6,,,,,10,,,,5400,18.63,100300,118.0,1496,1802,17,36%-49%,True,Home Improvement,Loan Originated,12.087912087912088,<=60%
2024,549300SHE1JTCOWBP090,16740,NC,37097,37097061101,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,2,2,2,1,2,25000,42.633,7.25,-0.74,2,,,,,,,,3.0,2,2,2,2,295000.0,1,1,3,5,1,,121.0,20%-<30%,3,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,35-44,No,No,1,1,6,,,,,10,,,,2724,21.95,100300,98.0,823,1112,26,20%-<30%,True,Home Improvement,Loan Originated,8.47457627118644,<=60%
2024,549300SHE1JTCOWBP090,39580,NC,37069,37069060602,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,1,1,2,1,2,105000,27.383,7.5,-0.72,2,,,,,,,,2.0,2,2,2,2,365000.0,1,1,3,5,1,,66.0,20%-<30%,3,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,>74,>74,Yes,Yes,1,1,6,,,,,10,,,,6640,30.12,122300,69.0,1718,2491,27,20%-<30%,True,Home Purchase,Loan Originated,28.767123287671232,<=60%
2024,549300SHE1JTCOWBP090,49180,NC,37197,37197050102,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,2,2,2,1,2,75000,71.184,7.5,-0.78,2,,,,,,,,1.0,2,2,2,2,355000.0,1,1,3,5,1,,114.0,20%-<30%,3,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,25-34,25-34,No,No,1,1,6,,,,,10,,,,3990,11.45,81900,85.0,1227,1791,36,20%-<30%,True,Home Improvement,Loan Originated,21.12676056338028,<=60%
2024,549300SHE1JTCOWBP090,49180,NC,37067,37067004007,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,1,1,2,1,2,105000,27.353,7.5,-0.74,2,,,,,,,,1.0,2,2,2,2,365000.0,1,1,3,5,1,,63.0,20%-<30%,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,8016,17.93,81900,175.0,2519,2963,33,20%-<30%,True,Home Purchase,Loan Originated,28.767123287671232,<=60%
2024,549300SHE1JTCOWBP090,39580,NC,37183,37183053435,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,31,2,2,1,2,125000,89.872,7.25,-0.35,2,,,,,,,,2.0,2,2,2,2,545000.0,1,1,3,5,1,,190.0,37,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,55-64,9999,No,,1,1,6,,,,,10,,,,3741,25.74,122300,141.0,885,1084,32,36%-49%,True,Refinancing,Loan Originated,22.93577981651376,<=60%
2024,549300SHE1JTCOWBP090,39580,NC,37183,37183054404,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,3,0,2,1,1,2,2,1,2,205000,61.605,,,3,,,,,,,,2.0,2,2,2,2,695000.0,1,1,3,5,1,,51.0,>60%,3,10,1,14.0,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,,1,1,6,,,,,1,,,,6927,54.79,122300,64.0,1824,2397,27,>60%,True,Home Purchase,Application Denied,29.496402877697843,<=60%
2024,549300SHE1JTCOWBP090,24660,NC,37081,37081015707,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,3,0,2,1,2,2,2,1,2,45000,67.004,,,3,,,,,,,,2.0,2,2,2,2,285000.0,1,1,3,5,1,,50.0,47,3,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,,1,1,6,,,,,1,,,,6473,31.04,80700,162.0,1912,2150,28,36%-49%,True,Home Improvement,Application Denied,15.789473684210526,<=60%
2024,549300SHE1JTCOWBP090,11700,NC,37089,37089931401,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,4,2,2,1,2,55000,77.642,7.5,-0.82,2,,,,,,,,1.0,2,2,2,2,325000.0,1,1,3,5,1,,92.0,42,3,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,35-44,35-44,No,No,1,1,6,,,,,10,,,,3965,44.97,87000,72.0,765,1331,33,36%-49%,True,Other Purpose,Loan Originated,16.923076923076923,<=60%
2024,549300SHE1JTCOWBP090,24780,NC,37147,37147001003,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,31,1,2,1,2,65000,11.742,,,3,,,,,,,,1.0,2,2,2,2,515000.0,1,1,3,5,1,,0.0,,3,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,35-44,35-44,No,No,1,1,6,,,,,1,,,,5877,24.35,84700,151.0,1640,2127,32,Missing,True,Refinancing,Application Denied,12.62135922330097,<=60%
2024,549300SHE1JTCOWBP090,24780,NC,37147,37147001601,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,2,2,2,1,2,65000,44.95,7.5,-0.82,2,,,,,,,,1.0,2,2,2,2,375000.0,1,1,3,5,1,,198.0,20%-<30%,3,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,1,6,,,,,10,,,,4177,31.96,84700,136.0,1333,1833,22,20%-<30%,True,Home Improvement,Loan Originated,17.333333333333336,<=60%
2024,549300SHE1JTCOWBP090,99999,NC,37033,37033930100,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,2,2,2,1,2,35000,27.318,7.5,-0.63,2,,,,,,,,1.0,2,2,2,2,125000.0,1,1,3,5,1,,83.0,<20%,3,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,55-64,55-64,No,Yes,1,1,6,,,,,10,,,,2297,49.54,71500,93.0,826,1231,44,<20%,True,Home Improvement,Loan Originated,28.000000000000004,<=60%
2024,549300SHE1JTCOWBP090,16740,NC,37119,37119004800,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,3,0,2,1,2,2,2,1,2,155000,77.091,,,3,,,,,,,,2.0,2,2,2,2,275000.0,1,1,3,5,1,,72.0,>60%,3,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,1,5,2,4,55-64,9999,No,,1,1,6,,,,,1,,,,3701,94.76,100300,43.0,612,1548,58,>60%,True,Home Improvement,Application Denied,56.36363636363636,<=60%
2024,549300SHE1JTCOWBP090,16740,NC,37097,37097061201,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Joint,White,Joint,1,0,2,1,2,2,2,1,2,135000,77.96,7.5,-0.82,2,,,,,,,,1.0,2,2,2,2,515000.0,1,1,3,5,1,,300.0,41,3,3,1,12.0,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,1,6,,,,,10,,,,5186,21.4,100300,99.0,1237,1648,24,36%-49%,True,Home Improvement,Loan Originated,26.21359223300971,<=60%
2024,549300SHE1JTCOWBP090,99999,NC,37189,37189920601,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,2,2,2,1,2,55000,62.759,7.25,-0.74,2,,,,,,,,3.0,2,2,2,2,415000.0,1,1,3,5,1,,116.0,30%-<36%,3,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,1,1,6,,,,,10,,,,5143,19.21,71500,0.0,635,1365,37,30%-<36%,True,Home Improvement,Loan Originated,13.253012048192772,<=60%
